"ClaveArticulo","Descripcion","ArticuloTipo","ArticuloGrupo","ArticuloClase","Almacenable","Identificacion","UMedInv","UMedVenta","UMedCpa","Precio","pctDescuento","UbicacionAlmacen","UbicacionClave"
"314-1127R","FARO GALANT 99-03 DER","24FAR","MITSU","MTW","S","LIBRE","PZA","PZA","PZA",2000,0,,
"3142-5341A","RAD SUBURBAN 92-94 AUT 2R LIN","73RAD","CHEV","MTW","S","Libre","PZA","PZA","PZA",3800,0,"01","01"
"3143-5341","RAD SUBURBAN 92-94 STD 2R LIN","73RAD","CHEV","MTW","S","Libre","PZA","PZA","PZA",3300,0,"01","01"
"3144-5506","RAD NISSAN PU 94-98 (D-21) STD 2 LIN","73RAD","NISSA","MTW","S","Libre","PZA","PZA","PZA",2000,0,"01","01"
"315-1101L","FARO TSURU III 92-93 Y 97-00 C/AJUS IZQ DEPO","24FAR","NISSA","MTW","S","Libre","PZA","PZA","PZA",400,0,"01","01"
"315-1101R","FARO TSURU III 92-93 Y 97-00 C/AJUS DER DEPO","24FAR","NISSA","MTW","S","Libre","PZA","PZA","PZA",400,0,"01","01"
"315-1108L","FARO SENTRA 96-99 / LUCINO 96-98 C/AJUSTES IZQ","24FAR","NISSA","MTW","S","Libre","PZA","PZA","PZA",480,0,"01","01"
"315-1108R","FARO SENTRA 96-99 / LUCINO 96-98 C/AJUSTES DER","24FAR","NISSA","MTW","S","Libre","PZA","PZA","PZA",480,0,"01","01"
"315-1109L","FARO PATHFINDER 97-98 C/AJUSTES IZQ","24FAR","NISSA","MTW","S","Libre","PZA","PZA","PZA",900,0,"01","01"
"315-1109R","FARO PATHFINDER 97-98 C/AJUSTES DER","24FAR","NISSA","MTW","S","Libre","PZA","PZA","PZA",900,0,"01","01"
"315-1112L","FARO QUEST / VILLAGER 96-98 C/BASE IZQ","24FAR","NISSA","MTW","S","Libre","PZA","PZA","PZA",1000,0,"01","01"
"315-1112R","FARO QUEST / VILLAGER 96-98 C/BASE DER","24FAR","NISSA","MTW","S","Libre","PZA","PZA","PZA",1000,0,"01","01"
"315-1117L","FARO MAXIMA 95-96 IZQ","24FAR","NISSA","MTW","S","LIBRE","PZA","PZA","PZA",1000,0,,
"315-1117R","FARO MAXIMA 95-96 DER","24FAR","NISSA","MTW","S","LIBRE","PZA","PZA","PZA",1000,0,,
"315-1126L","FARO MAXIMA 97-99 C/BASE IZQ","24FAR","NISSA","MTW","S","LIBRE","PZA","PZA","PZA",1600,0,,
"315-1126R","FARO MAXIMA 97-99 C/BASE DER","24FAR","NISSA","MTW","S","LIBRE","PZA","PZA","PZA",1600,0,,
"315-1130L","FARO X-TERRA 00-01 / FRONTIER 98-00 C/AJUSTES IZQ","24FAR","NISSA","MTW","S","Libre","PZA","PZA","PZA",700,0,"01","01"
"315-1130R","FARO X-TERRA 00-01 / FRONTIER 98-00 C/AJUSTES DER","24FAR","NISSA","MTW","S","Libre","PZA","PZA","PZA",700,0,"01","01"
"315-1131L","FARO ALTIMA 98-99 C/BASE IZQ","24FAR","NISSA","MTW","S","Libre","PZA","PZA","PZA",1300,0,"01","01"
"315-1131R","FARO ALTIMA 98-99 C/BASE DER","24FAR","NISSA","MTW","S","Libre","PZA","PZA","PZA",1300,0,"01","01"
"315-1136L","FARO PATHFINDER 99-03 IZQ","24FAR","NISSA","MTW","S","Libre","PZA","PZA","PZA",1200,0,"01","01"
"315-1136R","FARO PATHFINDER 99-03 DER","24FAR","NISSA","MTW","S","Libre","PZA","PZA","PZA",1200,0,"01","01"
"315-1137L","FARO MAXIMA 00-01 C/BASE IZQ","24FAR","NISSA","MTW","S","Libre","PZA","PZA","PZA",1400,0,"01","01"
"315-1137R","FARO MAXIMA 00-01 C/BASE DER","24FAR","NISSA","MTW","S","Libre","PZA","PZA","PZA",1400,0,"01","01"
"315-1138L","FARO ALTIMA 00-01 IZQ","24FAR","NISSA","MTW","S","LIBRE","PZA","PZA","PZA",1600,0,,
"315-1138R","FARO ALTIMA 00-01 DER","24FAR","NISSA","MTW","S","LIBRE","PZA","PZA","PZA",1600,0,,
"315-1139L","FARO SENTRA 01-03 C/BASE IZQ","24FAR","NISSA","MTW","S","Libre","PZA","PZA","PZA",1000,0,"01","01"
"315-1139R","FARO SENTRA 01-03 C/BASE DER","24FAR","NISSA","MTW","S","Libre","PZA","PZA","PZA",1000,0,"01","01"
"315-1141L1","FARO FRONTIER 01-03 C/BASE IZQ","24FAR","NISSA","MTW","S","Libre","PZA","PZA","PZA",1200,0,"01","01"
"315-1141R1","FARO FRONTIER 01-03 C/BASE DER","24FAR","NISSA","MTW","S","Libre","PZA","PZA","PZA",1200,0,"01","01"
"315-1142L","FARO TSURU III 01-03 C/AJUSTES IZQ","24FAR","NISSA","MTW","S","Libre","PZA","PZA","PZA",650,0,"01","01"
