"Articulo1","Articulo2","ClaveCliente","ClaveVendedor","FoliosJuntos"
"215-1542L","215-1562R","5092","7","2"
"215-1542L","331-1166L","5092","7","2"
"215-1542L","331-1166R","5092","7","2"
"215-1542L","431-1146RC","5092","7","2"
"215-1542L","442-1102L","5092","7","2"
"215-1542L","442-1102R","5092","7","2"
"215-1542L","DDCCH02","5092","7","2"
"215-1542L","DDCLU99","5092","7","2"
"215-1542L","DDCMA97","5092","7","2"
"215-1542L","DDDST01","5092","7","2"
"215-1542L","HDDCPU99","5092","7","2"
"215-1542L","MRFPU87","5092","7","2"
"215-1542L","SPFPU99","5092","7","2"
"215-1542R","215-1562L","5092","7","2"
"215-1542R","215-1562R","5092","7","2"
"215-1542R","331-1166L","5092","7","2"
"215-1542R","331-1166R","5092","7","2"
"215-1542R","431-1146RC","5092","7","2"
"215-1542R","442-1102L","5092","7","2"
"215-1542R","442-1102R","5092","7","2"
"215-1542R","DDCCH02","5092","7","2"
"215-1542R","DDCLU99","5092","7","2"
"215-1542R","DDCMA97","5092","7","2"
"215-1542R","DDDST01","5092","7","2"
"215-1542R","HDDCPU99","5092","7","2"
"215-1542R","MRFPU87","5092","7","2"
"215-1542R","SPFPU99","5092","7","2"
"215-1562L","215-1562R","5092","7","2"
"215-1562L","331-1166L","5092","7","2"
"215-1562L","331-1166R","5092","7","2"
"215-1562L","431-1146RC","5092","7","2"
"215-1562L","442-1102L","5092","7","2"
"215-1562L","442-1102R","5092","7","2"
"215-1562L","DDCCH02","5092","7","2"
"215-1562L","DDCLU99","5092","7","2"
"215-1562L","DDCMA97","5092","7","2"
"215-1562L","DDDST01","5092","7","2"
"215-1562L","HDDCPU99","5092","7","2"
"215-1562L","MRFPU87","5092","7","2"
"215-1562L","SPFPU99","5092","7","2"
"215-1562R","331-1166L","5092","7","2"
"215-1562R","331-1166R","5092","7","2"
"215-1562R","431-1146RC","5092","7","2"
"215-1562R","442-1102L","5092","7","2"
"215-1562R","442-1102R","5092","7","2"
"215-1562R","DDCCH02","5092","7","2"
"215-1562R","DDCLU99","5092","7","2"
"215-1562R","DDCMA97","5092","7","2"
"215-1562R","DDDST01","5092","7","2"
"215-1562R","HDDCPU99","5092","7","2"
"215-1562R","MRFPU87","5092","7","2"
"215-1562R","SPFPU99","5092","7","2"
"331-1166L","331-1166R","5092","7","2"
"331-1166L","431-1146RC","5092","7","2"
"331-1166L","442-1102L","5092","7","2"
"331-1166L","442-1102R","5092","7","2"
"331-1166L","DDCCH02","5092","7","2"
"331-1166L","DDCLU99","5092","7","2"
"331-1166L","DDCMA97","5092","7","2"
"331-1166L","DDDST01","5092","7","2"
"331-1166L","HDDCPU99","5092","7","2"
"331-1166L","MRFPU87","5092","7","2"
"331-1166L","SPFPU99","5092","7","2"
"331-1166R","431-1146RC","5092","7","2"
"331-1166R","442-1102L","5092","7","2"
"331-1166R","442-1102R","5092","7","2"
"331-1166R","DDCCH02","5092","7","2"
"331-1166R","DDCLU99","5092","7","2"
"331-1166R","DDCMA97","5092","7","2"
"331-1166R","DDDST01","5092","7","2"
"331-1166R","HDDCPU99","5092","7","2"
"331-1166R","MRFPU87","5092","7","2"
"331-1166R","SPFPU99","5092","7","2"
"431-1146RC","DDCCH02","5092","7","2"
"431-1146RC","DDCLU99","5092","7","2"
"431-1146RC","DDDST01","5092","7","2"
"431-1146RC","HDDCPU99","5092","7","2"
"431-1146RC","MRFPU87","5092","7","2"
"431-1146RC","SPFPU99","5092","7","2"
"442-1102L","DDCCH02","5092","7","2"
"442-1102L","DDCLU99","5092","7","2"
"442-1102L","DDDST01","5092","7","2"
"442-1102L","HDDCPU99","5092","7","2"
"442-1102L","MRFPU87","5092","7","2"
"442-1102L","SPFPU99","5092","7","2"
"442-1102R","DDCCH02","5092","7","2"
"442-1102R","DDCLU99","5092","7","2"
"442-1102R","DDDST01","5092","7","2"
"442-1102R","HDDCPU99","5092","7","2"
"442-1102R","MRFPU87","5092","7","2"
"442-1102R","SPFPU99","5092","7","2"
"DDCCH02","DDCLU99","5092","7","2"
"DDCCH02","DDCMA97","5092","7","2"
"DDCCH02","DDDST01","5092","7","2"
"DDCCH02","HDDCPU99","5092","7","2"
"DDCCH02","MRFPU87","5092","7","2"
"DDCCH02","SPFPU99","5092","7","2"
"DDCLU99","DDCMA97","5092","7","2"
"DDCLU99","DDDST01","5092","7","2"
"DDCLU99","HDDCPU99","5092","7","2"
"DDCLU99","MRFPU87","5092","7","2"
"DDCLU99","SPFPU99","5092","7","2"
"DDCMA97","DDDST01","5092","7","2"
"DDCMA97","HDDCPU99","5092","7","2"
"DDCMA97","MRFPU87","5092","7","2"
"DDCMA97","SPFPU99","5092","7","2"
"DDDST01","HDDCPU99","5092","7","2"
"DDDST01","MRFPU87","5092","7","2"
"DDDST01","SPFPU99","5092","7","2"
"HDDCPU99","MRFPU87","5092","7","2"
"HDDCPU99","SPFPU99","5092","7","2"
"MRFPU87","SPFPU99","5092","7","2"
"DDCPU92CB","DDCPU99C","5223","1","2"
"DDFPU92CB","PFPU97CUC","5223","1","2"
"DDFPU92CB","SFRA83L","5223","1","2"
"PFPU97CUC","SFRA83L","5223","1","2"
"CVGO93","DTFAE86C","5150","1","2"
"215-1504R3","216-1508L","0008","3","2"
"215-1504R3","216-1508R","0008","3","2"
"215-1504R3","PTPU89C2","0008","3","2"
"216-1508L","216-1508R","0008","3","2"
"216-1508L","PTPU89C2","0008","3","2"
"216-1508R","PTPU89C2","0008","3","2"
"331-1546L","331-1546R","5080","2","2"
"331-1546L","460268","5080","2","2"
"331-1546L","MIFEX91R","5080","2","2"
"331-1546L","SPCS1082","5080","2","2"
"331-1546R","460268","5080","2","2"
"331-1546R","MIFEX91R","5080","2","2"
"331-1546R","SPCS1082","5080","2","2"
"460268","MIFEX91R","5080","2","2"
"460268","SPCS1082","5080","2","2"
"MIFEX91R","SPCS1082","5080","2","2"
"BTFTO89F","DDFTO89","0024","3","2"
"221-1110L","221-1110R","5062","7","2"
"BTDSH89F","CFVA97","5603","4","2"
"BTDSH89F","PNSE01","5603","4","2"
"CFVA97","PNSE01","5603","4","2"
"331-1534L","CDSH91","5053","2","2"
"331-1534L","CDSP90","5053","2","2"
"331-1534R","CDSH91","5053","2","2"
"331-1534R","CDSP90","5053","2","2"
"CDSH91","CDSP90","5053","2","2"
"CDAT01","PFRA95C","5034","8","2"
"CDAT01","SFSD99L","5034","8","2"
"PFRA95C","SFSD99L","5034","8","2"
"DDCPU99C","DDFPU92CB","5223","1","2"
"DDFPU92CB","SPCPU99V","5223","1","2"
"DDNPU86CA","SFPU92L","5002","8","2"
"14027431","14027432","5002","8","2"
"14027431","DDCS1091CB","5002","8","2"
"14027431","FD93004SA0","5002","8","2"
"14027431","HDDPU94I","5002","8","2"
"14027431","PCPU94CH","5002","8","2"
"14027431","SCPU92R","5002","8","2"
"14027431","SDPU94L","5002","8","2"
"14027432","DDCS1091CB","5002","8","2"
"14027432","FD93004SA0","5002","8","2"
"14027432","HDDPU94I","5002","8","2"
"14027432","PCPU94CH","5002","8","2"
"14027432","SCPU92R","5002","8","2"
"14027432","SDPU94L","5002","8","2"
"DDCS1091CB","FD93004SA0","5002","8","2"
"DDCS1091CB","HDDPU94I","5002","8","2"
"DDCS1091CB","PCPU94CH","5002","8","2"
"DDCS1091CB","SCPU92R","5002","8","2"
"DDCS1091CB","SDPU94L","5002","8","2"
"FD93004SA0","HDDPU94I","5002","8","2"
"FD93004SA0","PCPU94CH","5002","8","2"
"FD93004SA0","SCPU92R","5002","8","2"
"FD93004SA0","SDPU94L","5002","8","2"
"HDDPU94I","PCPU94CH","5002","8","2"
"HDDPU94I","SCPU92R","5002","8","2"
"HDDPU94I","SDPU94L","5002","8","2"
"PCPU94CH","SCPU92L","5002","8","2"
"PCPU94CH","SDPU94L","5002","8","2"
"SCPU92L","SCPU92R","5002","8","2"
"SCPU92R","SDPU94L","5002","8","2"
"CDSH91","DDDST95","5223","1","2"
"DDDST95","DDFFO00","5223","1","2"
"333-1411L","333-1411R","5036","2","2"
"431-1146L","431-1146R","5018","7","2"
"CNT392","DDNSE01","5841","7","2"
"CNT392","DDNT392N","5841","7","2"
"DDNSE01","DTNT392N","5841","7","2"
"DDCCH94","DDDST95","5223","1","2"
"DDDST95","SDCH97R","5223","1","2"
"DDCPU92CB","MPDPU92CC","5061","8","2"
"DDCPU92CB","PCPU94CH","5061","8","2"
"MPDPU92CC","PCPU94CH","5061","8","2"
"215-1139L","215-1504R2","5245","7","2"
"215-1139L","331-1165L","5245","7","2"
"215-1139L","ADFKA01NR","5245","7","2"
"215-1139L","BTFPU92P","5245","7","2"
"215-1139L","DTNT392N","5245","7","2"
"215-1139L","ELCCH94CR","5245","7","2"
"215-1139L","PCS1091GM","5245","7","2"
"215-1139L","PCS1098C","5245","7","2"
"215-1139L","PFRA01C","5245","7","2"
"215-1504R2","331-1165L","5245","7","2"
"215-1504R2","ADFKA01NR","5245","7","2"
"215-1504R2","BTFPU92P","5245","7","2"
"215-1504R2","DTNT392N","5245","7","2"
"215-1504R2","ELCCH94CR","5245","7","2"
"215-1504R2","PCS1091GM","5245","7","2"
"215-1504R2","PCS1098C","5245","7","2"
"215-1504R2","PFRA01C","5245","7","2"
"331-1165L","ADFKA01NR","5245","7","2"
"331-1165L","BTFPU92P","5245","7","2"
"331-1165L","DTNT392N","5245","7","2"
"331-1165L","ELCCH94CR","5245","7","2"
"331-1165L","PCS1091GM","5245","7","2"
"331-1165L","PCS1098C","5245","7","2"
"331-1165L","PFRA01C","5245","7","2"
"ADFKA01NR","BTFPU92P","5245","7","2"
"ADFKA01NR","DTNT392N","5245","7","2"
"ADFKA01NR","ELCCH94CR","5245","7","2"
"ADFKA01NR","PCS1091GM","5245","7","2"
"ADFKA01NR","PCS1098C","5245","7","2"
"ADFKA01NR","PFRA01C","5245","7","2"
"BTFPU92P","DTNT392N","5245","7","2"
"BTFPU92P","ELCCH94CR","5245","7","2"
"BTFPU92P","PCS1091GM","5245","7","2"
"BTFPU92P","PCS1098C","5245","7","2"
"BTFPU92P","PFRA01C","5245","7","2"
"DTNT392N","ELCCH94CR","5245","7","2"
"DTNT392N","PCS1091GM","5245","7","2"
"DTNT392N","PCS1098C","5245","7","2"
"DTNT392N","PFRA01C","5245","7","2"
"ELCCH94CR","PCS1091GM","5245","7","2"
"ELCCH94CR","PCS1098C","5245","7","2"
"ELCCH94CR","PFRA01C","5245","7","2"
"PCS1091GM","PCS1098C","5245","7","2"
"PCS1091GM","PFRA01C","5245","7","2"
"PCS1098C","PFRA01C","5245","7","2"
"442-1123R","PNT394","5760","8","2"
"442-1123R","SFRA89L","5760","8","2"
"PNT394","SFRA89L","5760","8","2"
"BTDSH92F","BTFGH92F","5223","1","2"
"BTDSH92F","DDCCA91","5223","1","2"
"BTDSH92F","TSDT392","5223","1","2"
"BTFGH92F","TSDT392","5223","1","2"
"CDPU94","CDSH91","5223","1","2"
"CDPU94","PFPU97CUC","5223","1","2"
"DDCCA91","TSDT392","5223","1","2"
"330-1101AL","331-1953L","5841","7","2"
"330-1101AL","DDFWI99P","5841","7","2"
"330-1101AL","DTCCH94","5841","7","2"
"330-1101AL","DTFTO89","5841","7","2"
"331-1953L","DDFWI99P","5841","7","2"
"331-1953L","DTCCH94","5841","7","2"
"331-1953L","DTFTO89","5841","7","2"
"DDCCU92","DTVGO93","5841","7","2"
"DDFWI99P","DTCCH94","5841","7","2"
"DDFWI99P","DTFTO89","5841","7","2"
"DTCCH94","DTFTO89","5841","7","2"
"PCPU96CH","PFRA98P","5841","7","2"
"PCPU96CH","SFPU92R","5841","7","2"
"PFRA98P","SFPU92R","5841","7","2"
"331-1916L","BTFCV93F","5081","2","2"
"331-1916L","CDGC93","5081","2","2"
"331-1916L","DDFMU94","5081","2","2"
"331-1916L","ELTPU84CR","5081","2","2"
"331-1916L","PFEX91C","5081","2","2"
"331-1916L","SVGO87L","5081","2","2"
"BTFCV93F","CDGC93","5081","2","2"
"BTFCV93F","DDFMU94","5081","2","2"
"BTFCV93F","ELTPU84CR","5081","2","2"
"BTFCV93F","PFEX91C","5081","2","2"
"BTFCV93F","SVGO87L","5081","2","2"
"CDGC93","DDFMU94","5081","2","2"
"CDGC93","ELTPU84CR","5081","2","2"
"CDGC93","PFEX91C","5081","2","2"
"CDGC93","SVGO87L","5081","2","2"
"DDFMU94","ELTPU84CR","5081","2","2"
"DDFMU94","PFEX91C","5081","2","2"
"DDFMU94","SVGO87L","5081","2","2"
"ELTPU84CR","PFEX91C","5081","2","2"
"ELTPU84CR","SVGO87L","5081","2","2"
"PFEX91C","SVGO87L","5081","2","2"
"ELCPU99NCR","PCPU96CH","5409","8","2"
"PFRA93G","SCPU99L","5130","1","2"
"PFRA93G","SFES97R","5130","1","2"
"SCPU99L","SFES97R","5130","1","2"
"BTFTO92P","DDFPU92CB","5038","2","2"
"MEPMPU86","PNT184","5026","2","2"
"431-1146LC","431-1146RC","5130","1","2"
"431-1146LC","DDCS1095PB","5130","1","2"
"431-1146RC","DDCS1095PB","5130","1","2"
"ELFEX95EL","ELFEX95ER","5286","1","2"
"441-1104L","CNPU94","5702","2","2"
"441-1104L","DDDSH89","5702","2","2"
"CNPU94","DDDSH89","5702","2","2"
"CNPU94","DDNPU94P","5702","2","2"
"DDNPU94P","MRNPU94","5702","2","2"
"CNPU94","CVGO93","5702","2","2"
"CNPU94","SNPU94R","5702","2","2"
"CNPU94","SNT392L","5702","2","2"
"CVGO87","CVGO93","5702","2","2"
"CVGO87","SNPU94R","5702","2","2"
"CVGO87","SNT392L","5702","2","2"
"CVGO93","SNPU94L","5702","2","2"
"SNPU94L","SNPU94R","5702","2","2"
"SNPU94L","SNT392L","5702","2","2"
"SNPU94R","SNT392L","5702","2","2"
"CVGO87","MRNPU94","5702","2","2"
"CVGO87","MRNT392","5702","2","2"
"BTFGH92F","CDSH91","5223","1","2"
"442-1102L","RTNT392","0106","3","2"
"ELCCA90CBL","ELCCA90CBR","5208","2","2"
"DDCPU99C","DTCCA91","5223","1","2"
"CNT392","DDNSE96","5082","2","2"
"CNT392","SNPU73R","5082","2","2"
"CNT392","SNT290L","5082","2","2"
"DDNSE96","SNPU73R","5082","2","2"
"DDNSE96","SNT290L","5082","2","2"
"SNPU73R","SNT290L","5082","2","2"
"CNPU73","CNT392","5159","7","2"
"CNPU73","MPDPU92CC","5159","7","2"
"CNPU73","SDPU81R","5159","7","2"
"212-1552L1","212-1552R1","5214","4","2"
"CDNE00","CFES97","5933","8","2"
"CDNE00","CFPU97","5933","8","2"
"CDNE00","CFPU97A","5933","8","2"
"CDNE00","MRCMA97S","5933","8","2"
"CDNE00","SCPU99L","5933","8","2"
"CDNE00","SCPU99R","5933","8","2"
"CDNE00","SDNE00R","5933","8","2"
"CDNE00","SDPU94L","5933","8","2"
"CDNE00","SDPU94R","5933","8","2"
"CDNE00","SDSP90L","5933","8","2"
"CDNE00","SFCN96L","5933","8","2"
"CDNE00","SFEX95R","5933","8","2"
"CDNE00","SFPU97R","5933","8","2"
"CDNE00","SFRA98L","5933","8","2"
"CDNE00","SFRA98R","5933","8","2"
"CDNE00","SFSD99R","5933","8","2"
"CFES97","CFPU97","5933","8","2"
"CFES97","CFPU97A","5933","8","2"
"CFES97","MRCMA97S","5933","8","2"
"CFES97","SCPU99L","5933","8","2"
"CFES97","SCPU99R","5933","8","2"
"CFES97","SDNE00R","5933","8","2"
"CFES97","SDPU94L","5933","8","2"
"CFES97","SDPU94R","5933","8","2"
"CFES97","SDSP90L","5933","8","2"
"CFES97","SFCN96L","5933","8","2"
"CFES97","SFEX95R","5933","8","2"
"CFES97","SFPU97R","5933","8","2"
"CFES97","SFRA98L","5933","8","2"
"CFES97","SFRA98R","5933","8","2"
"CFES97","SFSD99R","5933","8","2"
"CFPU97","CFPU97A","5933","8","2"
"CFPU97","MRCMA97S","5933","8","2"
"CFPU97","SCPU99L","5933","8","2"
"CFPU97","SCPU99R","5933","8","2"
"CFPU97","SDNE00R","5933","8","2"
"CFPU97","SDPU94L","5933","8","2"
"CFPU97","SDPU94R","5933","8","2"
"CFPU97","SDSP90L","5933","8","2"
"CFPU97","SFCN96L","5933","8","2"
"CFPU97","SFEX95R","5933","8","2"
"CFPU97","SFPU97R","5933","8","2"
"CFPU97","SFRA98L","5933","8","2"
"CFPU97","SFRA98R","5933","8","2"
"CFPU97","SFSD99R","5933","8","2"
"CFPU97A","MRCMA97S","5933","8","2"
"CFPU97A","SCPU99L","5933","8","2"
"CFPU97A","SCPU99R","5933","8","2"
"CFPU97A","SDNE00R","5933","8","2"
"CFPU97A","SDPU94L","5933","8","2"
"CFPU97A","SDPU94R","5933","8","2"
"CFPU97A","SDSP90L","5933","8","2"
"CFPU97A","SFCN96L","5933","8","2"
"CFPU97A","SFEX95R","5933","8","2"
"CFPU97A","SFPU97R","5933","8","2"
"CFPU97A","SFRA98L","5933","8","2"
"CFPU97A","SFRA98R","5933","8","2"
"CFPU97A","SFSD99R","5933","8","2"
"MRCMA97S","SCPU99L","5933","8","2"
"MRCMA97S","SCPU99R","5933","8","2"
"MRCMA97S","SDNE00R","5933","8","2"
"MRCMA97S","SDPU94L","5933","8","2"
"MRCMA97S","SDPU94R","5933","8","2"
"215-1121L","215-1121R","5621","1","2"
"331-1118R","331-1124L","5421","4","2"
"331-1118R","331-1124R","5421","4","2"
"331-1118R","331-1129L","5421","4","2"
"331-1118R","331-1129R","5421","4","2"
"331-1118R","331-1173L","5421","4","2"
"331-1118R","331-1173R","5421","4","2"
"331-1118R","334-1101L","5421","4","2"
"331-1118R","334-1101R","5421","4","2"
"331-1118R","FNPU94L","5421","4","2"
"331-1118R","FNPU94R","5421","4","2"
"331-1124L","331-1124R","5421","4","2"
"331-1124L","331-1129L","5421","4","2"
"331-1124L","331-1129R","5421","4","2"
"331-1124L","331-1173L","5421","4","2"
"331-1124L","331-1173R","5421","4","2"
"331-1124L","334-1101L","5421","4","2"
"331-1124L","334-1101R","5421","4","2"
"331-1124L","FNPU94L","5421","4","2"
"331-1124L","FNPU94R","5421","4","2"
"331-1124R","331-1129L","5421","4","2"
"331-1124R","331-1129R","5421","4","2"
"331-1124R","331-1173L","5421","4","2"
"331-1124R","331-1173R","5421","4","2"
"331-1124R","334-1101L","5421","4","2"
"331-1124R","334-1101R","5421","4","2"
"331-1124R","FNPU94L","5421","4","2"
"331-1124R","FNPU94R","5421","4","2"
"331-1129L","331-1129R","5421","4","2"
"331-1129L","331-1173L","5421","4","2"
"331-1129L","331-1173R","5421","4","2"
"331-1129L","334-1101L","5421","4","2"
"331-1129L","334-1101R","5421","4","2"
"331-1129L","FNPU94L","5421","4","2"
"331-1129L","FNPU94R","5421","4","2"
"331-1129R","331-1173L","5421","4","2"
"331-1129R","331-1173R","5421","4","2"
"331-1129R","334-1101L","5421","4","2"
"331-1129R","334-1101R","5421","4","2"
"331-1129R","FNPU94L","5421","4","2"
"331-1129R","FNPU94R","5421","4","2"
"331-1173L","331-1173R","5421","4","2"
"331-1173L","334-1101L","5421","4","2"
"331-1173L","334-1101R","5421","4","2"
"331-1173L","FNPU94L","5421","4","2"
"331-1173L","FNPU94R","5421","4","2"
"331-1173R","334-1101L","5421","4","2"
"331-1173R","334-1101R","5421","4","2"
"331-1173R","FNPU94L","5421","4","2"
"331-1173R","FNPU94R","5421","4","2"
"334-1101L","334-1101R","5421","4","2"
"334-1101L","FNPU94L","5421","4","2"
"334-1101L","FNPU94R","5421","4","2"
"334-1101R","FNPU94L","5421","4","2"
"334-1101R","FNPU94R","5421","4","2"
"FNPU94L","FNPU94R","5421","4","2"
"PNRPU94L","PNRPU94R","5421","4","2"
"CDNE00","CDST01","5421","4","2"
"CDNE00","DDFMU99","5421","4","2"
"CDNE00","DDFPU97CB","5421","4","2"
"CDNE00","DDNT288A","5421","4","2"
"CDNE00","DDVGO87C","5421","4","2"
"CDNE00","MPDPU92CC","5421","4","2"
"CDNE00","PFPU92P","5421","4","2"
"CDNE00","PFPU97LOC","5421","4","2"
"CDNE00","PFPU99CUC","5421","4","2"
"CDNE00","PFPU99LOP","5421","4","2"
"CDNE00","PNT392","5421","4","2"
"CDNE00","SDPU81L","5421","4","2"
"CDNE00","SFMU99L","5421","4","2"
"CDNE00","SFMU99R","5421","4","2"
"CDNE00","SFPU97L","5421","4","2"
"CDNE00","SFVA97L","5421","4","2"
"CDNE00","SFVA97R","5421","4","2"
"CDST01","DDFMU99","5421","4","2"
"CDST01","DDFPU97CB","5421","4","2"
"CDST01","DDNT288A","5421","4","2"
"CDST01","DDVGO87C","5421","4","2"
"CDST01","MPDPU92CC","5421","4","2"
"CDST01","PFPU92P","5421","4","2"
"CDST01","PFPU97LOC","5421","4","2"
"CDST01","PFPU99CUC","5421","4","2"
"CDST01","PFPU99LOP","5421","4","2"
"CDST01","PNT392","5421","4","2"
"CDST01","SDPU81L","5421","4","2"
"CDST01","SFMU99L","5421","4","2"
"CDST01","SFMU99R","5421","4","2"
"CDST01","SFPU97L","5421","4","2"
"CDST01","SFVA97L","5421","4","2"
"CDST01","SFVA97R","5421","4","2"
"DDFMU99","DDFPU97CB","5421","4","2"
"DDFMU99","DDNT288A","5421","4","2"
"DDFMU99","DDVGO87C","5421","4","2"
"DDFMU99","MPDPU92CC","5421","4","2"
"DDFMU99","PFPU92P","5421","4","2"
"DDFMU99","PFPU97LOC","5421","4","2"
"DDFMU99","PFPU99CUC","5421","4","2"
"DDFMU99","PFPU99LOP","5421","4","2"
"DDFMU99","PNT392","5421","4","2"
"DDFMU99","SDPU81L","5421","4","2"
"DDFMU99","SFMU99L","5421","4","2"
"DDFMU99","SFMU99R","5421","4","2"
"DDFMU99","SFPU97L","5421","4","2"
"DDFMU99","SFVA97L","5421","4","2"
"DDFMU99","SFVA97R","5421","4","2"
"DDFPU97CB","DDNT288A","5421","4","2"
"DDFPU97CB","DDVGO87C","5421","4","2"
"DDFPU97CB","MPDPU92CC","5421","4","2"
"DDFPU97CB","PFPU92P","5421","4","2"
"DDFPU97CB","PFPU97LOC","5421","4","2"
"DDFPU97CB","PFPU99CUC","5421","4","2"
"DDFPU97CB","PFPU99LOP","5421","4","2"
"DDFPU97CB","PNT392","5421","4","2"
"DDFPU97CB","SDPU81L","5421","4","2"
"DDFPU97CB","SFMU99L","5421","4","2"
"DDFPU97CB","SFMU99R","5421","4","2"
"DDFPU97CB","SFPU97L","5421","4","2"
"DDFPU97CB","SFVA97L","5421","4","2"
"DDFPU97CB","SFVA97R","5421","4","2"
"DDNT288A","DDVGO87C","5421","4","2"
"DDNT288A","MPDPU92CC","5421","4","2"
"DDNT288A","PFPU92P","5421","4","2"
"DDNT288A","PFPU97LOC","5421","4","2"
"DDNT288A","PFPU99CUC","5421","4","2"
"DDNT288A","PFPU99LOP","5421","4","2"
"DDNT288A","PNT392","5421","4","2"
"DDNT288A","SDPU81L","5421","4","2"
"DDNT288A","SFMU99L","5421","4","2"
"DDNT288A","SFMU99R","5421","4","2"
"DDNT288A","SFPU97L","5421","4","2"
"DDNT288A","SFVA97L","5421","4","2"
"DDNT288A","SFVA97R","5421","4","2"
"DDVGO87C","MPDPU92CC","5421","4","2"
"DDVGO87C","PFPU92P","5421","4","2"
"DDVGO87C","PFPU97LOC","5421","4","2"
"DDVGO87C","PFPU99CUC","5421","4","2"
"DDVGO87C","PFPU99LOP","5421","4","2"
"DDVGO87C","PNT392","5421","4","2"
"DDVGO87C","SDPU81L","5421","4","2"
"DDVGO87C","SFMU99L","5421","4","2"
"DDVGO87C","SFMU99R","5421","4","2"
"DDVGO87C","SFPU97L","5421","4","2"
"DDVGO87C","SFVA97L","5421","4","2"
"DDVGO87C","SFVA97R","5421","4","2"
"MPDPU92CC","PFPU92P","5421","4","2"
"MPDPU92CC","PFPU97LOC","5421","4","2"
"MPDPU92CC","PFPU99CUC","5421","4","2"
"MPDPU92CC","PFPU99LOP","5421","4","2"
"MPDPU92CC","PNT392","5421","4","2"
"MPDPU92CC","SDPU81L","5421","4","2"
"MPDPU92CC","SFMU99L","5421","4","2"
"MPDPU92CC","SFMU99R","5421","4","2"
"MPDPU92CC","SFPU97L","5421","4","2"
"MPDPU92CC","SFVA97L","5421","4","2"
"MPDPU92CC","SFVA97R","5421","4","2"
"PFPU92P","PFPU97LOC","5421","4","2"
"PFPU92P","PFPU99CUC","5421","4","2"
"PFPU92P","PFPU99LOP","5421","4","2"
"PFPU92P","PNT392","5421","4","2"
"PFPU92P","SDPU81L","5421","4","2"
"PFPU92P","SFMU99L","5421","4","2"
"PFPU92P","SFMU99R","5421","4","2"
"PFPU92P","SFPU97L","5421","4","2"
"PFPU92P","SFVA97L","5421","4","2"
"PFPU92P","SFVA97R","5421","4","2"
"PFPU97LOC","PFPU99CUC","5421","4","2"
"PFPU97LOC","PFPU99LOP","5421","4","2"
"PFPU97LOC","PNT392","5421","4","2"
"PFPU97LOC","SDPU81L","5421","4","2"
"PFPU97LOC","SFMU99L","5421","4","2"
"PFPU97LOC","SFMU99R","5421","4","2"
"PFPU97LOC","SFPU97L","5421","4","2"
"PFPU97LOC","SFVA97L","5421","4","2"
"PFPU97LOC","SFVA97R","5421","4","2"
"PFPU99CUC","PFPU99LOP","5421","4","2"
"PFPU99CUC","PNT392","5421","4","2"
"PFPU99CUC","SDPU81L","5421","4","2"
"PFPU99CUC","SFMU99L","5421","4","2"
"PFPU99CUC","SFMU99R","5421","4","2"
"PFPU99CUC","SFPU97L","5421","4","2"
"PFPU99CUC","SFVA97L","5421","4","2"
"PFPU99CUC","SFVA97R","5421","4","2"
"PFPU99LOP","PNT392","5421","4","2"
"PFPU99LOP","SDPU81L","5421","4","2"
"PFPU99LOP","SFMU99L","5421","4","2"
"PFPU99LOP","SFMU99R","5421","4","2"
"PFPU99LOP","SFPU97L","5421","4","2"
"PFPU99LOP","SFVA97L","5421","4","2"
"PFPU99LOP","SFVA97R","5421","4","2"
"PNT392","SDPU81L","5421","4","2"
"PNT392","SFMU99L","5421","4","2"
"PNT392","SFMU99R","5421","4","2"
"PNT392","SFPU97L","5421","4","2"
"PNT392","SFVA97L","5421","4","2"
"PNT392","SFVA97R","5421","4","2"
"SDPU81L","SFMU99L","5421","4","2"
"SDPU81L","SFMU99R","5421","4","2"
"SDPU81L","SFPU97L","5421","4","2"
"SDPU81L","SFVA97L","5421","4","2"
"SDPU81L","SFVA97R","5421","4","2"
"SFMU99L","SFVA97L","5421","4","2"
"SFMU99L","SFVA97R","5421","4","2"
"SFMU99R","SFVA97L","5421","4","2"
"SFMU99R","SFVA97R","5421","4","2"
"SFPU97L","SFVA97L","5421","4","2"
"SFPU97L","SFVA97R","5421","4","2"
"SFVA97L","SFVA97R","5421","4","2"
"213-1123L","221-1110L","5421","4","2"
"213-1123L","221-1110R","5421","4","2"
"213-1123L","331-1106L","5421","4","2"
"213-1123L","331-1106R","5421","4","2"
"213-1123L","333-1105L","5421","4","2"
"213-1123L","333-1105R","5421","4","2"
"213-1123L","BTFPU97F","5421","4","2"
"213-1123L","ELCCA90CBR","5421","4","2"
"213-1123L","ELCPU99NLL","5421","4","2"
"213-1123L","ELCPU99NLR","5421","4","2"
"213-1123L","ELFPU97CL","5421","4","2"
"213-1123L","ELFPU97CR","5421","4","2"
"213-1123L","RDNT186","5421","4","2"
"213-1123R","221-1110L","5421","4","2"
"213-1123R","221-1110R","5421","4","2"
"213-1123R","331-1106L","5421","4","2"
"213-1123R","331-1106R","5421","4","2"
"213-1123R","333-1105L","5421","4","2"
"213-1123R","333-1105R","5421","4","2"
"213-1123R","BTFPU97F","5421","4","2"
"213-1123R","ELCCA90CBR","5421","4","2"
"213-1123R","ELCPU99NLL","5421","4","2"
"213-1123R","ELCPU99NLR","5421","4","2"
