"Articulo1","Articulo2","ClaveCliente","ClaveVendedor","FoliosJuntos"
"DDFEX91CB","DDFVA97C","5421","4","2"
"DDFEX91CB","DDNPU94P","5421","4","2"
"DDFEX91CB","DDVCO88","5421","4","2"
"DDFEX91CB","ELCS1098L","5421","4","2"
"DDFEX91CB","ELDDU98EL","5421","4","2"
"DDFEX91CB","ELDDU98ER","5421","4","2"
"DDFEX91CB","ELFES97EL","5421","4","2"
"DDFEX91CB","ELFES97ER","5421","4","2"
"DDFEX91CB","ELFPU97CL","5421","4","2"
"DDFEX91CB","ELFPU97CR","5421","4","2"
"DDFEX91CB","ELNT288L","5421","4","2"
"DDFEX91CB","RDCCH94","5421","4","2"
"DDFEX91CB","SPCLU97","5421","4","2"
"DDFVA97C","DDNPU94P","5421","4","2"
"DDFVA97C","DDVCO88","5421","4","2"
"DDFVA97C","ELCS1098L","5421","4","2"
"DDFVA97C","ELDDU98EL","5421","4","2"
"DDFVA97C","ELDDU98ER","5421","4","2"
"DDFVA97C","ELFES97EL","5421","4","2"
"DDFVA97C","ELFES97ER","5421","4","2"
"DDFVA97C","ELFPU97CL","5421","4","2"
"331-1129L","331-1129R","0121","3","2"
"331-1129L","331-1163L","0121","3","2"
"331-1129L","331-1163R","0121","3","2"
"331-1129R","331-1163L","0121","3","2"
"331-1129R","331-1163R","0121","3","2"
"331-1163L","331-1163R","0121","3","2"
"221-1110L","MICS1095L","5056","8","2"
"221-1110L","MICS1095R","5056","8","2"
"221-1110R","MICS1095L","5056","8","2"
"221-1110R","MICS1095R","5056","8","2"
"MICS1095L","MICS1095R","5056","8","2"
"331-1966L","CCGP97","5130","1","2"
"BTFGH92F","CFPU92","5130","1","2"
"CCCU87","CDSP90","5130","1","2"
"CDSP90","HDDCPU99","5130","1","2"
"HDDCPU99","SFGM92L","5130","1","2"
"332-1532R","DDCCA95P","5702","2","2"
"332-1532R","PFTO92","5702","2","2"
"DDCCA95P","PFTO92","5702","2","2"
"212-1552L2","212-1552R1","5720","6","2"
"212-1552L2","212-1552R2","5720","6","2"
"212-1552R1","212-1552R2","5720","6","2"
"CCCU87","CCSU97","5130","1","2"
"CCCU87","CFCN98","5130","1","2"
"BTFPU92P","SDPU81L","5237","1","2"
"96301Y02G0","96302Y02G0","5159","7","2"
"CNT392","DTCCH94","5841","7","2"
"CNT392","MPDPU92PC","5159","7","2"
"CNT392","MRNTS94","5159","7","2"
"CNT392","PCPU89CH","5159","7","2"
"CNT392","PFPU97LOP","5159","7","2"
"CNT392","PFPU99CUP","5159","7","2"
"CNT392","PFPU99LOP","5159","7","2"
"CNT392","PNPU94P","5159","7","2"
"CNT392","PNT392","5159","7","2"
"CNT392","PNT394","5159","7","2"
"CNT392","PVCA81","5159","7","2"
"CNT392","PVJE96","5159","7","2"
"CNT392","TISCPU81R","5159","7","2"
"MPDPU92CC","MPDPU92PC","5159","7","2"
"MPDPU92CC","MRNTS94","5159","7","2"
"MPDPU92CC","PCPU89CH","5159","7","2"
"MPDPU92CC","PFPU97LOP","5159","7","2"
"MPDPU92CC","PFPU99CUP","5159","7","2"
"MPDPU92CC","PFPU99LOP","5159","7","2"
"MPDPU92CC","PNPU94P","5159","7","2"
"MPDPU92CC","PNT392","5159","7","2"
"MPDPU92CC","PNT394","5159","7","2"
"MPDPU92CC","PVCA81","5159","7","2"
"MPDPU92CC","PVJE96","5159","7","2"
"MPDPU92CC","TISCPU81R","5159","7","2"
"MPDPU92PC","MRNTS94","5159","7","2"
"MPDPU92PC","PCPU89CH","5159","7","2"
"MPDPU92PC","PFPU97LOP","5159","7","2"
"MPDPU92PC","PFPU99CUP","5159","7","2"
"MPDPU92PC","PFPU99LOP","5159","7","2"
"MPDPU92PC","PNPU94P","5159","7","2"
"MPDPU92PC","PNT392","5159","7","2"
"MPDPU92PC","PNT394","5159","7","2"
"MPDPU92PC","PVCA81","5159","7","2"
"MPDPU92PC","PVJE96","5159","7","2"
"MPDPU92PC","SDPU81R","5159","7","2"
"MPDPU92PC","TISCPU81R","5159","7","2"
"MRNTS94","PCPU89CH","5159","7","2"
"MRNTS94","PFPU97LOP","5159","7","2"
"MRNTS94","PFPU99CUP","5159","7","2"
"MRNTS94","PFPU99LOP","5159","7","2"
"MRNTS94","PNPU94P","5159","7","2"
"MRNTS94","PNT392","5159","7","2"
"MRNTS94","PNT394","5159","7","2"
"MRNTS94","PVCA81","5159","7","2"
"MRNTS94","PVJE96","5159","7","2"
"MRNTS94","SDPU81R","5159","7","2"
"MRNTS94","TISCPU81R","5159","7","2"
"PCPU89CH","PFPU97LOP","5159","7","2"
"PCPU89CH","PFPU99CUP","5159","7","2"
"PCPU89CH","PFPU99LOP","5159","7","2"
"PCPU89CH","PNPU94P","5159","7","2"
"PCPU89CH","PNT392","5159","7","2"
"PCPU89CH","PNT394","5159","7","2"
"PCPU89CH","PVCA81","5159","7","2"
"PCPU89CH","PVJE96","5159","7","2"
"PCPU89CH","SDPU81R","5159","7","2"
"PCPU89CH","TISCPU81R","5159","7","2"
"PFPU97LOP","PFPU99CUP","5159","7","2"
"PFPU97LOP","PFPU99LOP","5159","7","2"
"PFPU97LOP","PNPU94P","5159","7","2"
"PFPU97LOP","PNT392","5159","7","2"
"PFPU97LOP","PNT394","5159","7","2"
"PFPU97LOP","PVCA81","5159","7","2"
"PFPU97LOP","PVJE96","5159","7","2"
"PFPU97LOP","SDPU81R","5159","7","2"
"PFPU97LOP","TISCPU81R","5159","7","2"
"PFPU99CUP","PFPU99LOP","5159","7","2"
"PFPU99CUP","PNPU94P","5159","7","2"
"PFPU99CUP","PNT392","5159","7","2"
"PFPU99CUP","PNT394","5159","7","2"
"PFPU99CUP","PVCA81","5159","7","2"
"PFPU99CUP","PVJE96","5159","7","2"
"PFPU99CUP","SDPU81R","5159","7","2"
"PFPU99CUP","TISCPU81R","5159","7","2"
"PFPU99LOP","PNPU94P","5159","7","2"
"PFPU99LOP","PNT392","5159","7","2"
"PFPU99LOP","PNT394","5159","7","2"
"PFPU99LOP","PVCA81","5159","7","2"
"PFPU99LOP","PVJE96","5159","7","2"
"PFPU99LOP","SDPU81R","5159","7","2"
"PFPU99LOP","TISCPU81R","5159","7","2"
"PNPU94P","PNT392","5159","7","2"
"PNPU94P","PNT394","5159","7","2"
"PNPU94P","PVCA81","5159","7","2"
"PNPU94P","PVJE96","5159","7","2"
"PNPU94P","SDPU81R","5159","7","2"
"PNPU94P","TISCPU81R","5159","7","2"
"PNT392","PNT394","5159","7","2"
"PNT392","PVCA81","5159","7","2"
"PNT392","PVJE96","5159","7","2"
"PNT392","SDPU81R","5159","7","2"
"PNT392","TISCPU81R","5159","7","2"
"PNT394","PVCA81","5159","7","2"
"PNT394","PVJE96","5159","7","2"
"PNT394","SDPU81R","5159","7","2"
"PNT394","TISCPU81R","5159","7","2"
