"Articulo1","Articulo2","FoliosJuntos"
"MICS1086R","MICS1091L","4"
"MICS1086L","MICS1091R","4"
"MICS1086R","MICS1091R","4"
"MICS1091L","MICS1091R","4"
"MIFPU80CL","MIFPU80CR","4"
"MEPCPU92L","MEPCPU92R","4"
"PNT392","PTPU89P","4"
"PCPU85","PCPU94CH","4"
"PCPU94CH","PCPU96CH","4"
"ELDDU98EL","ELDDU98ER","4"
"CNPU94","CVGO87","4"
"CNT288","CVGO87","4"
"PCPU73","PNPU94P","4"
"CNPU94","SFRA89R","4"
"333-1102R","BFDSH89R","4"
"SDPU94L","SDPU94R","4"
"CNT392","DTFTO89","4"
"CCPU99","SFES97R","4"
"15611495","15611496","4"
"DDNPU86CA","PNPU88A","4"
"DDNT392G","DTNT392N","4"
"333-1513L","333-1513R","4"
"SCPU92L","SCS1082L","4"
"PCPU96CH","SFPU92R","4"
"315-1506L","315-1506R","4"
"MEPCS1082L","MEPCS1082R","4"
"CNT392","DTCCH94","4"
"CCPU92","CDNE00","4"
"CDNE00","SCPU99R","4"
"MPDPU92CC","PFPU99LOP","4"
"MPDPU92CC","PNT392","4"
"DDFEX91CB","DDFPU92CB","4"
"CCCA95","CCCH94","4"
"CDSP90","DDFPU92CB","3"
"CCCA95","CCCH02","3"
"CCCH02","CVGO87","3"
"CNT392","CVGO87","3"
"213-1123L","213-1123R","3"
"CCCH94","CCPU92","3"
"SCCH94L","SCPU92L","3"
"PCPU94CH","SCPU92L","3"
"331-1127R","SCPU92L","3"
"212-1945L","SFPU92L","3"
"SCPU92L","SFPU92L","3"
"BTDSH92F","BTFGH92F","3"
"BTFGH92F","DDCCH94","3"
"BTFGH92F","DDDST95","3"
"DDCCH94","DDDST95","3"
"341-1102L","341-1102R","3"
"DDCPU92CB","DDCS1082P","3"
"DDCPU92CB","DDCS1091CB","3"
"DDCPU92CB","DDFTO89","3"
"CCPU92","DDNPU84P","3"
"CFPU80","DDNPU84P","3"
"CNPU94","DDNT392N","3"
"DDCPU92CB","DDNT392N","3"
"SCPU73R","SCPU81R","3"
"CNPU94","SNPU81L","3"
"CCPU92","SNPU81R","3"
"DTFTO89","DTNT392N","3"
"PNPU92","PNPU94P","3"
"PNPU94P","PVCA81","3"
"DTFAE86C","DTFTO89","3"
"DDCS1082P","PFPU92C","3"
"15611496","15686149","3"
"15611495","15686150","3"
"15611496","15686150","3"
"315-1902L","315-1902R","3"
"ELDVA98L","ELDVA98R","3"
"316-1501L","316-1501R","3"
"PFPU99CUC","SFVA97L","3"
"SFRA89L","SNA1079L","3"
"315-1514L","315-1514R","3"
"DDNT392N","DTCCH94","3"
"315-1101L","DTNT392N","3"
"ELCCU87CL","ELCCU87CR","3"
"CCCA91","CFPU80","3"
"CCCA95","CFPU92","3"
"ELNT1844PL","ELNT1844PR","3"
"96301Y02G0","ELNT288L","3"
"ELNT1842PL","ELNT288L","3"
"96301Y02G0","ELTPU84CL","3"
"96302Y02G0","ELTPU84CL","3"
"ELTPU89CL","ELTPU89CR","3"
"ELTPU89NL","ELTPU89NR","3"
"ELFPU97CL","ELNT288L","3"
"PCPU73","PFEX91C","3"
"PFPU99CUC","PFPU99LOP","3"
"PFPU99CUC","PNT392","3"
"212-1914L","212-1914R","3"
"212-1914L","212-1914R2","3"
"212-1914R","212-1914R2","3"
"212-1914L","212-1945L","3"
"212-1914R","212-1945L","3"
"212-1914R2","212-1945L","3"
"MTFPU87","MTMPU86","3"
"MTFPU87","MTNPU80A","3"
"MTFPU87","MTNPU87A","3"
"MTNPU80A","MTNPU87A","3"
"MTFPU87","MTTPU84","3"
"MTMPU86","MTTPU84","3"
"MTNPU87A","MTTPU84","3"
"MTFPU87","MTTPU89","3"
"MTMPU86","MTTPU89","3"
"MTNPU87A","MTTPU89","3"
"212-1552R1","212-1638R","3"
"312-1501L2","312-1501R2","3"
"212-1638R","312-1512L2","3"
"212-1638R","312-1512R2","3"
"312-1512R","312-1512R2","3"
"DDFPU97CB","DDVGO87C","3"
"PNPU86","PNPU88A","3"
"PNPU88A","PNPU94C","3"
"PNPU92","PNPU94C","3"
"SCS1082L","SCS1082R","3"
"SCS1082L","SCS1095L","3"
"SCS1095L","SCS1095R","3"
"SNA1079L","SNA1079R","3"
"SCS1082L","SNPU81L","3"
"SCS1082L","SNPU94L","3"
"SNA1079L","SNPU94L","3"
"SNPU81R","SNPU94L","3"
"SNPU81L","SNPU94R","3"
"SNPU94R","SNT184L","3"
"SNSE96L","SNT184L","3"
"SNPU81R","SNT184R","3"
"SNPU94R","SNT184R","3"
"SCS1082L","SNT290L","3"
"SNPU81R","SNT290L","3"
"SNPU94L","SNT290L","3"
"SNPU94R","SNT290L","3"
"SNT184R","SNT290L","3"
"SNT184L","SNT290R","3"
"SNT184R","SNT290R","3"
"331-1118R","331-1129L","3"
"CNT392","PNPU94P","3"
"MPDPU92CC","PNPU94P","3"
"MPDPU92PC","PNPU94P","3"
"MPDPU92CC","SDPU81L","3"
"MPDPU92PC","SDPU81R","3"
"PNPU94P","SDPU81R","3"
"331-1173L","331-1173R","3"
"215-1154L","215-1542L","3"
"SFCN96L","SFPU97R","3"
"333-1411L","333-1411R","3"
"BFEX91CL","DDCS1082P","3"
"SFRA89R","SNPU94L","3"
"DDNT392N","DTNT288A","3"
"212-1552R1","212-1612L","3"
"212-1552R1","212-1612R","3"
"212-1612L","212-1638L","3"
"212-1612R","212-1638L","3"
"212-1612L","312-1512L2","3"
"212-1612R","312-1512L2","3"
"SCS1082L","SNT392L","3"
"SCS1082R","SNT392L","3"
"SNPU81L","SNT392L","3"
"SNT184R","SNT392L","3"
"SNT290R","SNT392L","3"
"SCS1082L","SNT392R","3"
"SCS1082R","SNT392R","3"
"SNPU81R","SNT392R","3"
"SNSE96L","SNT392R","3"
"SNT184R","SNT392R","3"
"SNT290R","SNT392R","3"
"SNT392L","STPU84L","3"
"212-1612L","312-1512R2","3"
"212-1612R","312-1512R2","3"
"CCPU92","SCCA00L","3"
"FNFPU97L","FNFPU97R","3"
"115-1501L","115-1501R","3"
"HDDPU94I","HDDPU94S","3"
"ADNPU86CAL","ADNPU86CAR","3"
"BCPU85CHL","BCPU85CHR","3"
"CCCA91","CDPU94","3"
"CDSH91","CFPU97A","3"
"BTDSH92F","SHCI99R","3"
"CCGP97","CCPU92","3"
"CCPU92","CCSU97","3"
"CCGP97","CFCN98","3"
"CCSU97","CFCN98","3"
"333-1101L","431-1146L","3"
"331-1913L","331-1913R","3"
"PNPU94C","SFPU87R","3"
"333-1501L","333-1602R","3"
"BFFPU79L","BFFPU79R","3"
"CCPU92","SCPU92L","3"
"331-1540L","331-1540R","3"
"331-1540L","BTFMU94P","3"
"331-1540R","BTFMU94P","3"
"DDNT392N","SNT392R","3"
"315-1504LAY","315-1504RAY","3"
"215-1991L","215-1991R","3"
"333-1402L","333-1402R","3"
"DDCS1082P","DDNPU86CA","3"
"SFMU99L","SFMU99R","3"
"CFPU80","SFPU92L","3"
"SFMU99L","SFPU97L","3"
"SFMU99R","SFPU97L","3"
"PCS1093C","PFRA89C","3"
"DDFEX91CB","DDVCO88","3"
"331-1515L","331-1612R","3"
"215-1542L","215-1562L","3"
"215-1542R","215-1562L","3"
"SFPU73L","SFPU73R","3"
"SFPU92L","SFPU97L","3"
"215-1605L","215-1605R","3"
"215-1631L1","215-1631R1","3"
"213-1509L","213-1509R","3"
"215-1504L","215-1504R","3"
"215-1504L3","215-1504R","3"
"215-1504L2","215-1504R2","3"
"215-1504R","215-1504R3","3"
"215-1558L6","215-1558R6","3"
"315-1506L","315-1506L2","3"
"315-1506L","315-1506R2","3"
"332-1525L","332-1525R","3"
"332-1525R","332-1526L","3"
"332-1525R","332-1526R","3"
"332-1528R","332-1545L","3"
"332-1545L","332-1545R","3"
"332-1545L","332-1627L","3"
"DDCPU92CB","MPDPU92CC","3"
"CNT392","MPDPU92PC","3"
"MPDPU92CC","MPDPU92PC","3"
"DTNT288A","DTNT289L","3"
"SCCA00L","SCCA00R","3"
"SCS1082L","SDAT01R","3"
"SDAT01R","SNT392R","3"
"SDSH89L","SNT392R","3"
"PCPU89CH","PNT392","3"
"431-1146RC","HDDCPU99","3"
"PCPU89CH","PVCA81","3"
"DDDNE94","DDDPU94C","3"
"CNPU73","CNPU81","3"
"CFPU80","CNPU94","3"
"CNPU73","CNPU94","3"
"CNPU81","CNT184","3"
"CNPU94","CNT184","3"
"CNPU81","CNT288","3"
"PNT392","PVCA81","3"
"DDDSP90","DDVJE99M","3"
"332-1932L","332-1932R","3"
"331-1923L","331-1923R","3"
"DDFTO89","DDVGO93","3"
"316-1503L","316-1503R","3"
"CCCU87","CCGP97","3"
"CCCU87","CCSU97","3"
"CFCN98","SCPU99R","3"
"CCCA95","CNT392","3"
"ELFCN98EL","ELFCN98ER","3"
"315-1503L","315-1503R","3"
"SDPU81L","SFPU97L","3"
"SCPU73L","SCPU81L","3"
"BFNPU84L","BFNPU84R","3"
"ESCPU94L","ESCPU94R","3"
"FCPU89CHE","FCPU89CHI","3"
"ELCS1094AL","ELCS1094AR","3"
"MRMPU86","MRNT392","3"
"MRNT288","MRTPU84","3"
"CNT392","CTPU84","3"
"CNT392","CTPU89","3"
"CTPU84","CTPU89","3"
"CCPU92","SCPU81L","3"
"CNT392","SCPU92L","3"
"MEPFRA93L","MEPFRA93R","3"
"MEPNPU81L","MEPNPU81R","3"
"MEPNPU73L","MEPNPU87NL","3"
"MEPNPU73R","MEPNPU87NL","3"
"MEPNPU73L","MEPNPU87NR","3"
"MEPNPU73R","MEPNPU87NR","3"
"MEPNPU87CL","MEPNPU87NR","3"
"MEPNPU87CR","MEPNPU87NR","3"
"MEPNPU87NL","MEPNPU87NR","3"
"MEPNT187CL","MEPNT187CR","3"
"MEPNT288N","MEPNT290C","3"
"MEPNT288N","MEPNT392L","3"
"MEPNT290C","MEPNT392L","3"
"MEPNT288N","MEPNT392R","3"
"MEPNT290C","MEPNT392R","3"
"MEPTPU84C","MEPTPU84N","3"
"MEPTPU89CL","MEPTPU89CR","3"
"96301Y02G0","ELCPU77C","3"
"96301Y02G0","ELNPU94NL","3"
"CCCA91","CDNE00","3"
"CCPU92","SFES97R","3"
"SFES97L","SFES97R","3"
"SFES97L","SFKA01R","3"
"SFES97R","SFKA01R","3"
"CCPU92","SFPU92L","3"
"SFES97L","SFPU92L","3"
"SFKA01R","SFPU92L","3"
"CCPU92","SFPU92R","3"
"CCPU99","SFPU92R","3"
"SFES97R","SFPU92R","3"
"SFES97L","SFRA93R","3"
"442-1102R","DDCCH02","3"
"431-1146RC","DDCMA97","3"
"442-1102L","DDCMA97","3"
"442-1102R","DDCMA97","3"
"SFRA89R","SNPU94R","3"
"215-1139R","331-1106L","3"
"215-1139R","331-1106R","3"
"215-1139R","331-1129R","3"
"DDDST95","DDFFO00","3"
"DDDST95","DDFPU80C","3"
"DDDPU90CB","DDFPU92CB","3"
"PFPU99LOP","PNT394","3"
"PCPU89CH","SDPU81R","3"
"212-1945L","331-1618R","3"
"MEPCCL82CL","MEPCCL82CR","3"
"MEPFPU73L","MEPFPU73R","3"
"331-1618R","332-1615L","3"
"332-1916L","332-1916R","3"
"215-1542R","442-1102L","3"
"215-1542R","442-1102R","3"
"BFEX91CL","BFPU79CL","3"
"BFEX91PL","BFPU79CL","3"
